"源文件","位置","严重级别","问题类型","问题说明","处理动作","样例"
"GB+2811-2019.pdf","PDF文本层","低","原PDF文本层不可用","原PDF直接抽取不可靠；用户提供图片页后已完成人工核验入库。","已通过图片核验结果写入正式CSV；保留原PDF SHA256和官方详情页溯源。","GB 2811-2019"
"GB+6095-2021.pdf","全文件","高","当前源放弃","当前PDF文本层不可作为可靠入库源。","等待重新提供可复制中文PDF、Word或官网HTML文本。","https://std.samr.gov.cn/gb/search/gbDetailed?id=CAEA4CD20E988EECE05397BE0A0AB82F"
"GB+15603-2022.pdf","全文件","高","当前源放弃","当前PDF文本层不可作为可靠入库源。","等待重新提供可复制中文PDF、Word或官网HTML文本。","https://std.samr.gov.cn/gb/search/gbDetailed?id=F113142E3FD44B65E05397BE0A0A5AB9"
"GB+30871-2022.pdf","全文件","高","当前源放弃","当前PDF文本层不可作为可靠入库源。","等待重新提供可复制中文PDF、Word或官网HTML文本。","https://std.samr.gov.cn/gb/search/gbDetailed?id=DAB6B92C0762FC96E05397BE0A0A5F84"
"GB+4351-2023.pdf","附录A-F及部分图表","中","复杂附录待复核","正文和可确认表格已入库，复杂附录和图表未可靠抽取。","待清晰来源复核后再追加，不用推测文本补入正式CSV。","附录A-F"
"GB+12955-2024.pdf","附录A-D","中","复杂附录待复核","正文已入库，附录含复杂表格和公式。","待清晰来源复核后再追加。","附录A-D"
"GB+17945-2024.pdf","附录和表格碎片","中","附录/表格碎片待复核","正文和可确认表格已入库，附录和误拆伪条款号未纳入。","待换源或逐页复核后追加。","附录、表格碎片"
"GB+46034-2025.pdf","附录A/B","低","资料性附录待复核","正文已入库，资料性复杂表格暂未纳入。","待需要时逐页核对后追加。","附录A/B"
"GB+46768-2025.pdf","附录A-G","低","资料性附录待复核","正文已入库，资料性表格或示例暂未纳入。","待需要时逐页核对后追加。","附录A-G"
"安全生产许可证条例_20140729.docx","文件级元数据","低","实施日期待进一步确认","FLK截图实施日期字段为空，当前CSV实施日期沿用本地文件可核验日期2004-01-13。","保留说明，后续如取得更明确官方字段再修正。","2004-01-13"
